,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,pred_toxic,pred_severe_toxic,pred_obscene,pred_threat,pred_insult,pred_identity_hate,bert_toxic,bert_severe_toxic,bert_obscene,bert_threat,bert_insult,bert_identity_hate
0,fdfe4657cd211434,"""""""Although they may be based on...""""  What is they?   08:26, 12 Aug 2004 (UTC)""",0,0,0,0,0,0,0,0,0,0,0,0,0.0024906585,0.00024876508,0.00052179245,0.00015578466,0.00054719445,0.00030649223
1,838d488c91ee24ff,"""

 oh why dear johnny boy part one (again) 

do you want a fucking fight? 
what the shit is your problem

""""ooh! he's personally attacking me"""" 

grow up""",1,0,1,0,1,0,1,0,1,1,0,0,0.923959,0.06234241,0.87185067,0.008775209,0.5160617,0.04563302
2,fa45ff15ec85272b,"Vk, I have had a number of admins support the block, and much fewer opposing it.
However, if you are not going to do the moves, there is nothing for ANI to consider, is there?
So I will lift the block, and we can all save time at WP:ANI.  However, a block may be reimposed if you resume disruptive editing.  (talk) " (contribs)",0,0,0,0,0,0,0,0,0,0,0,0,0.0023554931,0.00026202115,0.0005221895,0.00016280034,0.000548861,0.0003225964
3,1b96fb37e3b42fec,"Me 

Blow me and ban this ip from the whole site.",1,0,0,0,0,0,1,0,1,1,0,0,0.10000675,0.00075094023,0.011209989,0.0009767788,0.012434386,0.0029091171
4,2b2e060218052af9,"A big thank you

You have just blocked me in the middle of trying to redirect half a dozen pages. Thank you. Thank you. Hopefully it gives you a sense of power, wasting people's time? I bet you're a traffic warden or a cop or something like that in real life. A jobsworth power-hungry asshole.
Thanks again.",1,0,1,0,0,0,1,0,0,0,1,0,0.48411706,0.006840887,0.22537899,0.0037087505,0.13105233,0.015957998
5,f840615058d2c892,See response to Ks0stm (I hope I typed that right) - I do not expect to be unblocked. 86.165.204.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0030895318,0.00021111399,0.00051719084,0.00014152925,0.00055054843,0.00027304504
6,ef4158d33d2d50f3,"It is the last one i object to. It was removed claiming to be unsourced, so per talk page, i remedied the problem.",0,0,0,0,0,0,0,0,0,0,0,0,0.0039194883,0.00018229637,0.00054538966,0.00013083627,0.00059509475,0.0002545204
7,f4b213a729650828,"""
They recently (yesterday) hired a new """"Chief Communications Officer"""" [Katherine Maher] but are still in process of finding a New Executive Director for WMF ....on the 25th, the job posting was taken off and this was posted by Jan Barte on meta

As mentioned before we have taken a different tactic in finding new
candidates and we have met with several people and we have had several
meetings with candidates with two or more members of the Transition Team.

We are at a point where we have three candidates that we all feel are
great. We hope to speak to them in the coming week or two and hope to go
into the final process (reference checking, terms negotiation etc.) after
that. We would then likely be looking to announce the new ED in May.

Sue touched upon this subject during the Metrics update which took place
on March 6th.

Jan-Bart de Vreede

  """,0,0,0,0,0,0,0,0,0,0,0,0,0.002242802,0.00028063045,0.0005299796,0.00016967668,0.00055721396,0.00034122198
8,edccbc71dbdb7069,There is a disturbing trend of WP:Crystal ball edits on other constituncy pages. please wait for the election to add the content.(  ).,0,0,0,0,0,0,0,0,0,0,0,0,0.0025489272,0.00024508656,0.0005172387,0.0001550628,0.0005513592,0.00030299652
9,0e24013b81aa4024,"Where does this figure for Karachi come from? At over 29 million, it would be the 2nd most populous in the world.",0,0,0,0,0,0,0,0,0,0,0,0,0.002836078,0.00021673534,0.0005192781,0.00014363055,0.00054549106,0.00027740293
10,25c61ea8f255f209,I took down Merasty's bio which was copied right from his site. Any re-editing is welcome.,0,0,0,0,0,0,0,0,0,0,0,0,0.0035550063,0.00018996396,0.0005364942,0.00013339915,0.000577215,0.00025862263
11,49ffaadd769debc8,"""

 A barnstar for you! 

  The Anti-Vandalism Barnstar For Protecting PS Barito Putera and Pro Duta FC Article despite you are Blocking me from Contributing to WikiPedia for 72 Hours    """,0,0,0,0,0,0,0,0,0,0,0,0,0.008513235,0.00016429898,0.0007598161,0.00013077204,0.00079970324,0.00025711747
